Gruppenname;Gebietsnummer;jahr;Anzahl
MLPD;29;2021;0
DKP;29;2021;0
dieBasis;29;2021;1416
du.;29;2021;0
LKR;29;2021;0
Die Humanisten;29;2021;0
Team Todenhöfer;29;2021;0
Volt;29;2021;0
CDU;30;2021;52069
SPD;30;2021;47763
FDP;30;2021;12019
AfD;30;2021;10735
GRÜNE;30;2021;19923
DIE LINKE;30;2021;4340
Die PARTEI;30;2021;0
Tierschutzpartei;30;2021;0
FREIE WÄHLER;30;2021;0
PIRATEN;30;2021;1755
NPD;30;2021;0
V-Partei³;30;2021;0
ÖDP;30;2021;0
MLPD;30;2021;0
DKP;30;2021;0
dieBasis;30;2021;2029
du.;30;2021;0
LKR;30;2021;0
Die Humanisten;30;2021;0
Team Todenhöfer;30;2021;0
Volt;30;2021;0
CDU;31;2021;72523
SPD;31;2021;52309
FDP;31;2021;17466
AfD;31;2021;8993
GRÜNE;31;2021;22562
DIE LINKE;31;2021;3996
Die PARTEI;31;2021;0
Tierschutzpartei;31;2021;0
FREIE WÄHLER;31;2021;0
PIRATEN;31;2021;0
NPD;31;2021;0
V-Partei³;31;2021;0
ÖDP;31;2021;0
MLPD;31;2021;0
DKP;31;2021;0
dieBasis;31;2021;1364
du.;31;2021;0
LKR;31;2021;0
Die Humanisten;31;2021;0
Team Todenhöfer;31;2021;0
Volt;31;2021;0
CDU;32;2021;80134
SPD;32;2021;33825
FDP;32;2021;14397
AfD;32;2021;12674
GRÜNE;32;2021;17366
DIE LINKE;32;2021;3542
Die PARTEI;32;2021;0
Tierschutzpartei;32;2021;0
FREIE WÄHLER;32;2021;0
PIRATEN;32;2021;0
NPD;32;2021;0
V-Partei³;32;2021;0
ÖDP;32;2021;0
MLPD;32;2021;0
DKP;32;2021;0
dieBasis;32;2021;1248
du.;32;2021;0
LKR;32;2021;0
Die Humanisten;32;2021;0
Team Todenhöfer;32;2021;0
Volt;32;2021;0
CDU;33;2021;49116
SPD;33;2021;46455
FDP;33;2021;13671
AfD;33;2021;9683
GRÜNE;33;2021;19702
DIE LINKE;33;2021;4029
Die PARTEI;33;2021;0
Tierschutzpartei;33;2021;0
FREIE WÄHLER;33;2021;0
PIRATEN;33;2021;0
NPD;33;2021;0
V-Partei³;33;2021;0
ÖDP;33;2021;0
MLPD;33;2021;0
DKP;33;2021;0
dieBasis;33;2021;2111
du.;33;2021;0
LKR;33;2021;0
Die Humanisten;33;2021;0
Team Todenhöfer;33;2021;0
Volt;33;2021;0
EB: Gums;33;2021;727
CDU;34;2021;50274
SPD;34;2021;48574
FDP;34;2021;13764
AfD;34;2021;0
GRÜNE;34;2021;21933
